UA,品牌,型号
N5117,OPPO,N1 mini
NX601J,努比亚,X6
Redmi Note 7,小米,红米Note 7
OPPO R11,OPPO,R11
OPPO R9tm,OPPO,R9tm
vivo X21A,vivo,X21A
R7Plus,OPPO,R7 Plus
OPPO R11s,OPPO,R11s
BLA-AL00,华为,Mate10 Pro
Mi Note 3,小米,Note 3
FIG-AL10,华为,畅享7S
HUAWEI MLA-AL10,华为,麦芒5
VKY-AL00,华为,P10 Plus
DUK-AL20,华为,荣耀V9
COR-AL10,华为,荣耀Play
OPPO A37m,OPPO,A37m
OPPO A83,OPPO,A83
PRA-AL00,华为,荣耀8青春版
MYA-TL10,华为,荣耀畅玩6
PBEM00,OPPO,R17
OPPO R9sk,OPPO,R9sk
M5s,魅族,M5s
EVA-TL00,华为,P9
vivo Y85A,vivo,Y85A
OPPO A59s,OPPO,A59s
vivo Y71A,vivo,Y71A
vivo X20A,vivo,X20A
PADT00,OPPO,A3
vivo X6A,vivo,X6A
STF-AL10,华为,荣耀9
COR-TL10,华为,荣耀Play
OPPO R9m,OPPO,R9m
NX563J,努比亚,Z17
BLN-AL10,华为,荣耀畅玩6X
ONEPLUS A3000,一加,3
Le X620,乐视,2
HUAWEI CAZ-AL10,华为,nova
EML-AL00,华为,P20
V1818A,vivo,Y93
SM-A3009,三星,A3
PBET00,OPPO,R17
SKR-A0,小米,黑鲨游戏手机
vivo Y85,vivo,Y85
HWI-AL00,华为,nova 2s
M2,,
ivvi F1S,ivvi F1S,ivvi F1S
PBCM10,OPPO,15X
EVA-AL10,华为,P9
vivo Y79,vivo,Y79
m3 note,魅族,魅蓝3
PACM00,OPPO,R15
Redmi Note 4X,小米,红米Note 4X
A31,OPPO,A31
INE-AL00,华为,nova 3i
T03,长虹,T03
KOPO L7,酷珀,L7
Hisense F20T,海信,F20T
RNE-AL00,华为,麦芒6
vivo Y23L,vivo,Y23L
Coolpad B770,酷派,B700
vivo Y66L,vivo,Y66L
OPPO A37t,OPPO,A37t
OPPO A73,OPPO,A73
ZTE BV0720,中兴,Blade A2
M681C,魅族,note 3
Le X820,乐视,Max 2
vivo Y37,vivo,Y37
ONEPLUS A5010,一加,5T
V1732T,vivo,Y18s
UNNO E3,UNNO,E3
PRA-AL00X,华为,荣耀8青春版
OPPO R11 Plus,OPPO,R11 Plus
S03,长虹,S03
vivo X6Plus A,vivo,X6Plus A
T1-823L,华为,荣耀平板LTEban
vivo X7Plus,vivo,X7Plus
vivo Y79A,vivo,Y79A
OD105,锤子,坚果Pro
BLN-AL30,华为,荣耀畅玩6X
vivo NEX A,vivo,NEX A
TRT-AL00,华为,畅享7 Plus
OD103,锤子,坚果Pro
MI 8,小米,8
BLN-TL10,华为,畅玩6X
vivo X9s,vivo,X9s
vivo X21UD A,vivo,X21UD A
Redmi Note 5A,小米,红米Note 5A
DIG-AL00,华为,畅享6S
EYU T5S,亿优,T5S
vivo Y71,vivo,Y71
vivo Y55A,vivo,Y55A
vivo Y55,vivo,Y55
PIC-AL00,华为,nova 2
BAC-AL00,华为,nova 2 Plus
OPPO A79,OPPO,A79
TRT-TL10A,华为,畅享7 Plus
vivo X9s Plus,vivo,X9s Plus
JSN-AL00,华为,荣耀8X
VTR-AL00,华为,P10
vivo X6S A,vivo,X6S A
Redmi 5 Plus,小米,红米5 Plus
SM-G9500,三星,S8
SNE-AL00,华为,麦芒7
Coolpad 8690_T00,酷派,大神X7
OPPO A83t,OPPO,A83t
LON-AL00,华为,Mate9 Pro
AUM-AL00,华为,荣耀畅玩7A
Redmi 6 Pro,小米,红米6 Pro
vivo X9,vivo,X9
M836,中国移动,N2
vivo X20Plus A,vivo,X20Plus A
V1818CA,vivo,Y93s
LND-AL30,华为,荣耀畅玩7C
vivo X9s L,vivo,X9s L
ZTE BA601N,中兴,Blade A601
MIX 2S,小米,MIX 2s
OPPO R9s Plus,OPPO,R9s Plus
vivo Xplay5A,vivo,Xplay5A
vivo Y51A,vivo,Y51A
EYU T7,亿优,T7
SM-T355C,三星,GALAXY Tab A 8.0
vivo Y75,vivo,Y75
SM-A5009,三星,GALAXY A5
vivo Y75A,vivo,Y75A
V1809T,vivo,X23
Coolpad Y803-9,酷派,Y803-9
MI 8 SE,小米,8 SE
EDI-AL10,华为,荣耀Note 8
G0215D,格力,董小姐手机2
HUAWEI TIT-CL10,华为,畅享5
ATU-AL10,华为,畅享8e
PAR-AL00,华为,nova 3
GN8003,金立,M6
PBBM00,OPPO,A7x
M1813,魅族,V8
M5,魅族,魅蓝5
V1809A,vivo,X23
OPPO A57t,OPPO,A57t
vivo Y67L,vivo,Y67L
OPPO R11s Plus,OPPO,R11s Plus
MI 5X,小米,5X
1501-A02,360,F4
V1816A,vivo,X23
SM-G9350,三星,S7
OPPO R7sPlus,OPPO,R7s Plus
DUB-AL00,华为,畅享9
OPPO A59m,OPPO,A59m
Nokia X5,诺基亚,X5
RVL-AL09,华为,荣耀Note 10
MI 6,小米,6
vivo Y66,vivo,Y66
OPPO R9s,OPPO,R9s
Redmi 4A,小米,红米4A
vivo Z1,vivo,Z1
MIX 2,小米,MIX 2
M623C,中国移动,A1
PBAM00,OPPO,A5
Redmi 4,小米,红米4
SCL-TL00,华为,荣耀4A
SM-C7000,三星,GALAXY C700
MI 5s Plus,小米,5S Plus
CUN-AL00,华为,荣耀畅玩5
HUAWEI TAG-AL00,华为,畅享5s
OPPO R7s,OPPO,R7s
V1732A,vivo,Y81s
vivo X9i,vivo,X9i
ANE-AL00,华为,nova 3e
PBCM30,OPPO,K1
OPPO R9t,OPPO,R9t
LYA-AL00,华为,Mate 20 Pro
V1813A,vivo,Y97
SM-G9650,三星,GALAXY S9
vivo X9L,vivo,X9L
LDN-AL00,华为,畅享8
vivo X5S L,vivo,X5S L
SUGAR S,SUGAR,S
OPPO R7sm,OPPO,R7sm
M1 E,魅族,魅蓝E
PBFM00,OPPO,A7
Le X528,乐视,2
GN9010L,金立,GN9010L
Coolpad A8-930,酷派,峰尚Max
Le X621,乐视,2
vivo X9Plus,vivo,X9Plus
MHA-AL00,,
OPPO R11t,OPPO,R11t
vivo Y51,vivo,Y51
OPPO R11 Pluskt,OPPO,R11 Pluskt
SM-T713,三星,GALAXY Tab S2 8.0
CHM-UL00,,
COL-AL10,,
vivo Y55L,vivo,Y55L
OPPO A73t,OPPO,A73t
PCT-AL10,,
WP,,
BF T19,,
vivo Y83A,vivo,Y83A
vivo Y31A,vivo,Y31A
OPPO A57,OPPO,A57
SM-G7106,三星,GALAXY Grand 2
MI 5,小米,5
ChanghongS10,,
vivo Y67A,vivo,Y67A
x600,,
OPPO R7,OPPO,R7
KIW-AL10,,
R7Plusm,,
BLN-AL20,,
vivo X20,vivo,X20
TCL P590L,,
STF-AL00,,
OPPO R11st,OPPO,R11st
MI MAX,小米,MAX
PAAM00,,
OPPO A59st,OPPO,A59st
HUAWEI TIT-AL00,,
MIX 3,,
LYA-L29,,
LDN-AL20,,
KINGSUN-F3C,,
TRT-AL00A,,
HRY-AL00a,,
vivo X7,vivo,X7
vivo V3Max A,vivo,V3Max A
HTC U-3w,,
Redmi 4X,小米,红米4X
SM-T555C,三星,GALAXY Tab A 9.7
ALP-AL00,,
M654,,
OPPO A77t,OPPO,A77t
vivo Y83,vivo,Y83
1603-A03,,
OPPO R9st,OPPO,R9st
Coolpad 8675,酷派,大神F2
VTR-TL00,,
ONEPLUS A3010,一加,3T
Redmi Note 2,小米,红米Note 2
MI 6X,小米,6X
V1818CT,,
KNT-UL10,,
vivo Y13,vivo,Y13
OPPO R9 Plustm A,OPPO,R9 Plustm A
LND-AL40,,
XT1662,,
H5,,
vivo X710L,vivo,X710L
vivo Z1i,vivo,Z1i
Mi-4c,小米,4C
vivo Y15T,vivo,Y15T
V1731CA,,
OPPO R11s Plust,OPPO,R11s Plust
CHM-CL00,,
SM-J7109,三星,GALAXY J7
vivo Y66i A,vivo,Y66i A
G33,,
NEM-AL10,,
vivo X6D,vivo,X6D
Coolpad T2-00,酷派,峰尚Pro
PAAT00,,
BND-AL10,,
vivo Y67,vivo,Y67
V1730EA,,
HRY-AL00,,
HWI-TL00,,
GO C1,,
vivo V3L,vivo,V3L
Coolpad T2-C01,酷派,峰尚Pro
OPPO R9km,OPPO,R9km
MI 9,小米,9
MI 9 SE,小米,9 SE
M6 Note,,
GIONEE GN5007L,,
OPPO R11 Plusk,OPPO,R11 Plusk
CHE-TL00H,,
SM-G9600,三星,GALAXY S9
P98h(B4C7),,
MP1701,,
CLT-AL00,,
CLT-AL01,,
UOOGOU,,
Mi Note 2,小米,Note 2
OPPO A77,OPPO,A77
Letv X501,乐视,1S
A51,,
FLA-AL10,,
Redmi Note 3,小米,红米Note 3
ONEPLUS A6010,一加,6T
Redmi Note 5,小米,红米Note 5
V1816T,,
M3 Max,,
MP1602,,
BLN-AL40,,
TETC-H1,,
V1829A,,
TA-1000,,
GIONEE GN5007,,
vivo X9Plus L,vivo,X9Plus L
Letv X500,乐视,1S
HUAWEI CRR-UL00,,
KIW-TL00,,
Redmi 6,小米,红米6
OPPO A53,OPPO,A53
PADM00,,
FDR-A03L,,
HUAWEI TIT-TL00,,
OS105,,
GN9010,,
MI MAX 2,小米,MAX 2
V1818T,,
OPPO A33,OPPO,A33
Redmi 5,小米,红米5
LLD-AL30,,
MB200,,
NCE-AL10,,
HUAWEI M2-803L,,
vivo X5Pro D,vivo,X5Pro D
FRD-AL00,,
EYU T5,亿优,T5
BAC-TL00,,
NX549J,,
TNY-AL00,,
V1814A,,
M621C,,
Hisense E20T,,
PBBT30,,
PBAT00,,
Redmi Note 4,小米,红米Note 4
Philips_V787,,
HMA-AL00,,
PAFM00,,
FLA-TL10,,
BKL-AL00,,
HUAWEI NXT-AL10,,
HUAWEI MT7-TL00,,
ME525 ,,
vivo X6Plus D,vivo,X6Plus D
OPPO R9 Plusm A,OPPO,R9 Plusm A
MP1603,,
MX4,,
SOP-S9,,
GN3003,,
LLD-AL00,,
S9,,
M850A,,
vivo Y53L,vivo,Y53L
DOOV L9,,
MI PLAY,小米,PLAY
HUAWEI VNS-AL00,,
SLA-AL00,,
EYU T3,亿优,T3
GO N2,,
GIONEE S10,,
PRO 6s,,
OPPO A79k,OPPO,A79k
NCE-AL00,,
ChanghongS08,,
vivo X3L,vivo,X3L
ALE-TL00,,
SM-G6100,三星,GALAXY On7
DUA-AL00,,
MYA-AL10,,
JKM-AL00b,,
PBBT00,,
CK3-01,,
1713-A01,,
SLA-TL10,,
Coolpad Y72-921,酷派,峰尚mini
BND-TL10,,
vivo Y27,vivo,Y27
BKL-AL20,,
vivo V3M A,vivo,V3M A
JKM-AL00,,
vivo Xplay6,vivo,Xplay6
GO M4,,
2014813,,
V1813BA,,
lephone T708V,,
PE-TL10,,
SM-A3000,三星,GALAXY A3
Lenovo A3690,,
SM-G9550,三星,GALAXY S8 Plus
GIONEE M7L,,
HM NOTE 1LTE,,
Bambook S1,,
PACT00,,
M2 E,,
Get,,
SM-N7508V,三星,GALAXY Note 3 Lite
vivo X21,vivo,X21
Redmi 3S,小米,红米3S
SUGAR C-88Dual,SUGAR,C88 Dual
3007,,
Lezhou LZ6,,
BM006,,
MI 4W,小米,4W
GT-I9082C,,
OE106,,
R2,,
SAMSUNG-SM-G925A,三星,GALAXY S6 Edge
V5 PRO,,
R11 Plus,,
ASUS_X008,,
ARS-AL00,,
GN3001,,
EVA-AL00,,
ARE-AL00,,
SM-J3109,三星,GALAXY J3
V9,,
CAM-TL00H,,
PBCT10,,
DOOV A5,,
AR9,,
TCL-550,,
KNT-AL10,,
vivo X21UD,vivo,X21UD
6045O,,
S16,,
LEX622,,
LLD-AL20,,
SM-C5010,三星,GALAXY C5 Pro
ONEPLUS A6000,一加,6
H60-L02,,
DOOV M2,,
JSN-AL00a,,
MI 5C,小米,5C
Redmi 3,小米,红米3
MI 5s,小米,5S
SM-N910P,三星,美版Note 4
vivo Xplay3S,vivo,Xplay3S
lephone W9,,
MI NOTE LTE,小米,Note LTE
ZTE Q529C,,
LLD-AL10,,
OPSSON_V6,,
C6903,,
GIONEE M7,,
vivo X21i,vivo,X21i
MI 4LTE,小米,4LTE
XIAOXYE P7,,
L36h,,
HTC D826w,,
MI 8 Lite,小米,8 Lite
V1838A,,
2014811,,
16 X,,
FRD-AL10,,
Hol-T00,,
PBBM30,,
Bird M6,,
VIE-AL10,,
WAS-AL00,,
M5 Note,,
ATU-L31,,
SM-N9006,三星,GALAXY Note 3
JMM-AL10,,
Lenovo K30-T,,
FRD-L09,,
Redmi Note 7 Pro,小米,红米Note 7 Pro
SM-C5000,三星,GALAXY C5
R7c,,
DOOV V3,,
WAS-TL10,,
HTC_E9pw,,
vivo Y35,vivo,Y35
vivo X20Plus UD,vivo,X20Plus UD
HLTE212T,,
vivo Y31,vivo,Y31
HUAWEI MT7-TL10,,
HUAWEI NXT-TL00,,
F100L,,
MX6,,
M18,,
COMIO M7000+,,
Y7,,
COR-AL00,,
NX575J,,
X900,,
X9007,,
CAM-AL00,,
BTV-W09,,
DOOV S3,,
MX4 Pro,,
SM-T819C,三星,GALAXY Tab S2 9.7
X20,,
vivo Y33,vivo,Y33
SM-G9200,三星,GALAXY S6
N970,,
GIONEE S10L,,
GIONEE S10CL,,
SM-G9008V,三星,GALAXY S5
OPPO A79kt,OPPO,A79kt
hi6210sft,,
CHM-TL00H,,
LEX626,,
AUM-AL20,,
KIW-CL00,,
GIONEE S10C,,
Coolpad 8675-FHD,酷派,大神F2
Nexus S,,
HTC M8w,,
FIG-TL10,,
BND-AL00,,
Coolpad Y71-511,酷派,峰尚Air
vivo V3,vivo,V3
EVR-AL00,,
Kumai 921,,
OC105,,
F5,,
OPPO A79t,OPPO,A79t
OPPO R9skt,OPPO,R9skt
Laaboo V6,,
KINGSUN-F4,,
PAR-TL00,,
CAM-TL00,,
Nexus 5,,
NX523J_V1,,
SM-G5108Q,三星,GALAXY Core Max
1607-A01,,
m2 note,,
S8-701w,,
ALE-UL00,,
DLI-AL10,,
TETC-V1,,
M3s,,
C105-6,,
SM-C7100,三星,GALAXY C8
V1813BT,,
PRA-TL10,,
ZJ108-R9S,,
N5209,,
GEM-703L,,
Coolpad Y91-921,酷派,峰尚Pro2
lephone V5,,
F100,,
JAT-AL00,,
vivo X20Plus,vivo,X20Plus
BM008,,
VCE-AL00,,
m1 metal,,
JXD,,
GN8002S,,
S200,,
KING 7S,,
vivo X21i A,vivo,X21i A
ALP-TL00,,
SM-G9300,三星,GALAXY S7
GT-I9308I,,
N5207,,
Lenovo S899t,,
SM-G6000,三星,GALAXY On7
vivo X6SPlus D,vivo,X6SPlus D
vivo X9s Plus L,vivo,X9s Plus L
JKM-TL00,,
G102,,
OPPO A33m,OPPO,A33m
GM-Q7+,,
V1821A,,
vivo Y66i,vivo,Y66i
ANE-TL00,,
PBFT00,,
L826,,
INE-TL00,,
GN3003L,,
TRT-TL10,,
SM-A8000,三星,GALAXY A8
vivo NEX S,vivo,NEX S
BKL-TL10,,
Redmi 6A,小米,红米6A
HM NOTE 1S,,
ARE-AL10,,
HUAWEI RIO-AL00,,
X800,,
H60-L01,,
SM-C9000,三星,GALAXY C9 Pro
GN152,,
NEO-AL00,,
msm8952,,
DIG-TL10,,
Coolpad 5380CA,酷派,5380CA
HUAWEI P8max,,
SM-T805C,三星,GALAXY Tab S 10.5
BLA-TL00,,
Le X520,乐视,2
NX573J,,
H30-U10,,
M653,,
C107-9,,
AGS2-W09HN,,
HUAWEI B199,,
HM 1SW,,
Meizu S6,,
U20,,
7S,,
SM-N9500,三星,GALAXY Note 8
M2018,,
vivo Xplay6L,vivo,Xplay6L
CT01,,
JMM-AL00,,
4G,,
vivo X6SPlus,vivo,X6SPlus
vivo Y28L,vivo,Y28L
GIONEE F6,,
PE-CL00,,
ZTE BA611T,,
vivo X6L,vivo,X6L
MI NOTE Pro,小米,Note Pro
BKK-AL00,,
TA-1041,,
lephone F1,,
CM CM7S,,
SK-16,,
Readboy_G35S,,
T5,,
SHV-E330S,,
LDN-TL20,,
G666,,
NX595J,,
8681-M02,,
G8342,,
OPPO A30,OPPO,A30
KNT-AL20,,
E6853,,
ATU-TL10,,
NCE-TL10,,
Coolpad 8722V,酷派,8722V
F103S,,
ATH-AL00,,
R11 DIM,,
Lenovo TB-8703N,,
AC822X,,
SM-A7009,三星,GALAXY A7
SCH-I959,,
HUAWEI GRA-UL10,,
Vodafone Smart Tab 4,,
SM-J5108,三星,GALAXY J5
NTS-AL00,,
E6683,,
ASUS_Z00ADB,,
V1813T,,
Che1-CL20,,
MAR-TL00,,
H60-L11,,
EML-TL00,,
GIONEE F109L,,
M685U,,
SM-G9092,三星,大器3
SM-G9280,三星,GALAXY S6 Edge+
N808,,
F8132,,
HUAWEI P7-L00,,
vivo X7L,vivo,X7L
Lenovo L78011,,
ivvi SK5,,
SM-W2016,三星,GALAXY Golden 3
WAS-L03T,,
moto g(6),,
HUAWEI TAG-TL00,,
GN9006,,
ZUK Z2121,,
SM-G925P,三星,GALAXY S6 Edge
Redmi S2,小米,红米S2
PE-TL20,,
1807-A01,,
ChanghongS06,,
MP1503,,
CAM-UL00,,
vivo Y53,vivo,Y53
16th,,
SM-G9008W,三星,GALAXY S5
Lenovo A3890,,
NX531J,,
Lenovo A938t,,
CK2-01,,
GIONEE S10BL,,
SM-J3119,三星,GALAXY J3 Pro
OPPO A53m,OPPO,A53m
HUAWEI RIO-UL00,,
NX569H,,
vivo Y51e,vivo,Y51e
SM-A7100,三星,GALAXY A7
CUN-TL00,,
JMM-TL10,,
HMA,,
ZTE A2015,,
Lenovo K32c36,,
SM-G5308W,三星,GALAXY Grand Prime
Che2-TL00M,,
vivo X6Plus L,vivo,X6Plus L
HLTE500T,,
KIW-UL00,,
1707-A01,,
Meizu 6T,,
HUAWEI CAZ-TL10,,
ivvi F2-T,,
VKY-L29,,
Coolpad 7722,酷派,7722
PIC-TL00,,
SM-G5520,三星,GALAXY On5
T1,,
ZTE A0616,,
Coolpad 5360,酷派,5360
M652,,
GT-I9205,,
A31c,,
XT1925-10,,
S_4G02,,
T355c,,
X5,,
HW-V9,,
NEM-TL00,,
GN5003,,
HUAWEI GRA-TL00,,
Bestsonny_LT989,,
PAFT00,,
PLK-AL10,,
Coolpad 5370,酷派,5370
SM-J5008,三星,GALAXY J5
MI 2,小米,2
GN5002,,
GN9012,,
X1,,
vivo Y37A,vivo,Y37A
H30-C00,,
GN8001,,
KONKA D557,,
LA-X7,,
Lenovo K520,,
K-Touch M3s Plus,,
NX513H,,
Hisense F22,,
H3000,,
NX619J,,
SM-P601,三星,GALAXY Note10.1 2014 Edition 3G版
PE-TL00M,,
R8,,
HLTE510M,,
lephone T5V,,
8692-A00,,
Coolpad Y75,酷派,Y75
F106,,
DS-6202HL,,
koobee H9,,
vivo Y35A,vivo,Y35A
SM-J3110,三星,GALAXY J3 Pro
SM-A6050,三星,GALAXY A9 Star Lite
YTONE_V2,,
NX529J,,
15,,
C106-7,,
1603-A02,,
DRA-AL00,,
M1822,,
FLA-AL20,,
GN8003L,,
NX510J,,
SM801,,
SCL-AL00,,
FRD-DL00,,
NEM-TL00H,,
AE G11,,
MLLED L9,,
Che2-UL00,,
vivo X5M,vivo,X5M
C106-9,,
SM-G8870,三星,GALAXY A8s
JDN-AL00,,
HUAGAN HT8,,
ARS-TL00,,
sdm660,,
LEX720,,
Angelcare-F5,,
vivo Y75s,vivo,Y75s
R7Plust,,
SOP-M9,,
HTC D820u,,
FIG-AL00,,
LON-AL00-PD,,
M A5,,
HUAWEI C8816,,
R5,,
8298-A01,,
Haier HL-6388T,,
M821,,
GT-I9128,,
SM-A7000,三星,GALAXY A7
GT-I9158,,
2014011,,
GO C3,,
Che2-TL00,,
SM-A9100,三星,GALAXY A9
OPPO R7t,OPPO,R7t
S11 Plus,,
M651CY,,
G19,,
lephone W7 ,,
AGS-L09,,
GN5001S,,
SM-G5500,三星,GALAXY On5
vivo Y13L,vivo,Y13L
1605-A01,,
MI 8 UD,小米,8 UD
TCL P316L,,
ivvi i3-01,,
D6503,,
vivo X5Max+,vivo,X5Max+
C106,,
8681-A01,,
HUAWEI SC-UL10,,
Redmi 5A,小米,红米5A
vivo Xplay5S,vivo,Xplay5S
XT1650-05,,
BKK-TL00,,
R2017,,
R8107,,
HUAWEI G750-T20,,
Coolpad Y803-8,酷派,峰尚3
vivo Y51t L,vivo,Y51t L
GT-N5100,,
R7t,,
ZTE C880D,,
M15,,
BKK-AL10,,
vivo Y13iL,vivo,Y13iL
m1 note,,
JKM-AL00a,,
Coolpad 5270,酷派,5270
vivo X5Pro L,vivo,X5Pro D
KOPO L9,,
GT-I9500,,
Best sonny LT580,,
SM-A5100,三星,GALAXY A5
MHA-TL00,,
1801-A01,,
deeg1,,
BLA-L29,,
PRO 7-S,,
vivo X5Max S,vivo,X5Max S
XT1924-9,,
SM-E7009,三星,GALAXY E7
BF R6,,
AOLE A11,,
Q9,,
GN5005L,,
HM 1S,,
HUAWEI CAZ-TL20,,
HTC D816t,,
GIONEE F205L,,
V1814T,,
HUAWEI P7-L07,,
Haipainoble S3,,
vivo Y937,vivo,Y937
BF_T18,,
ChanghongC08,,
V1829T,,
ZUK Z2131,,
U5483,,
SK1-02,,
Lenovo A3000-H,,
Le X625,乐视,2 Pro
VOG-AL00,,
PRO 5,,
PLK-CL00,,
SM-G9250,三星,GALAXY S6 Edge
X608,,
LND-TL40,,
DLI-TL20,,
ONEPLUS A5000,一加,5
SM-G9508,三星,GALAXY S8
SM-G9208,三星,GALAXY S6
M578CA,,
KONKA S1,,
PRO 6,,
KONKA 509,,
X9009,,
HTC 8088,,
HUAWEI MLA-AL00,,
20170605Q,,
HM 2A,,
A51kc,,
SM-G7200,三星,GALAXY Grand Max
S2,,
SM-N9600,三星,GALAXY Note 9
LLD-TL10,,
Redmi Pro,小米,红米Pro
ZTE BA611C,,
GT-I9152,,
Letv X502,乐视,1S
SM-A5000,三星,GALAXY A5
Nokia X6,诺基亚,X6
Lenovo K10e70,,
vivo Y69A,vivo,Y69A
S107H,,
SM-A9000,三星,GALAXY A9
KIW-TL00H,,
Readboy_G600,,
T60,,
1505-A01,,
NX589J,,
Coolpad 9190L,酷派,S6
GN9008,,
S8-701u,,
MIX,,
JSN-TL00,,
HUAWEI G628-TL00,,
GN5005,,
MP1512,,
ZTE BA610C,,
LingWin 9 (X),,
ZTE BA603,,
S3,,
MI 3,小米,3
Coolpad 8718,酷派,8718
SCL-CL00,,
LG-H778,,
JKOPO F1,,
F100SL,,
SCL-TL00H,,
HLTE300T,,
YQ605,,
F105,,
KONKA 510,,
Nexus 6,,
6607,,
HTC D826d,,
ZTE BA520,,
SM-C7010,三星,GALAXY C7 Pro
HUAWEI ALE-CL00,,
4G Volte,,
HM-I502-FL,,
CM CM5S,,
SM-T807P,三星,GALAXY Tab S 10.5
LEX651,,
JDN2-AL00,,
EPHONE7,,
GO N20,,
koobee M6,,
NOAIN X17C,,
ASUS_Z010DA,,
M3,,
HUAWEI MT1-T00,,
OKP2,,
LYA-AL10,,
SM-G925V,三星,GALAXY S6 Edge
G620-L75,,
ZTE C2017,,
LEX850,,
ZUK Z2151,,
R8207,,
7070Q,,
Lenovo K52e78,,
Lenovo A916,,
Coolpad 8737A,酷派,8737A
SM-N9008V,三星,GALAXY Note 3
Hisense M30T,,
OPPO R7st,OPPO,R7st
Hisense E70-T,,
SM-J7108,三星,GALAXY J7
P2,,
Coolpad Y891,酷派,峰尚Pro2
lephone T13,,
2014501,,
HMA-TL00,,
OPSSON-Q3,,
HUAWEI MLA-TL10,,
lephone T7,,
ZTE BV0730,,
HUAWEI P6-U06,,
EVA-DL00,,
GM-T5,,
L2,,
HUAWEI MT2-L05,,
HUAWEI MT7-CL00,,
SM-N910V,三星,GALAXY Note 4
NX512J,,
OPPO R9s Plust,OPPO,R9s Plust
vivo Y53n,vivo,Y53n
HUAWEI G730-L075,,
HTC M8Sw,,
HUAWEI Y320-T00,,
vivo Y623,vivo,Y623
Coolpad 8297W,酷派,大神F1
PCT-TL10,,
H100,,
DUA-TL00,,
vivo NEX,vivo,NEX
Meitu V4,,
1503-A01,,
ZTE STAR,,
koobee S12,,
ASUS_X008DB,,
Coolpad Y82-820,酷派,峰尚2
G8142,,
SS2-01,,
GN8002,,
G818,,
SM-N9200,三星,GALAXY Note 5
XT1581,,
A7,,
Coolpad A8-831,酷派,峰尚Max
SM-W2018,三星,W2018
C1530L,,
Coolpad 7061,酷派,7061
M6,,
GN9011,,
DUB-TL00,,
K-Touch X11,,
GIONEE S11,,
PBDM00,,
AGS2-AL00HN,,
MTS-T0,,
OWWO 5S,,
LGTD-X3L,,
Coolpad 8297,酷派,大神F1
K-Touch H2,,
Lenovo A3910e70,,
DOOV V11,,
ZTE B2015,,
2014812,,
MAR-AL00,,
KT-101-D(KT108),,
SINTAVE S1 PLUS,,
Redmi 7,小米,红米7
MP1801,,
HUAWEI VNS-TL00,,
ZTE A2017,,
SM-G9730,三星,GALAXY S10
S01,,
SM-G3608,三星,GALAXY Core Prime
M3X,,
MLLED N9,,
GIONEE GN5006,,
SM-N9100,三星,GALAXY Note 4
HUAWEI GRA-UL00,,
SM-N9008S,三星,GALAXY Note 3
